Full name:;Short name;Headquarters;Description;Founded;Cellular Networks Installed;Supported Cellular Data Links;Cellular Network Operator;Covered Countries;Covered Regions
Wellcom Mobile;Wellcom;Bangkok Thailand;;;GSM 900MHz (B8)GSM900 phones support P-GSM (Primary GSM) 900 MHz (B8) band (downlink: 935.0 MHz - 960.0 MHz, uplink: 890.0 MHz - 915.0 MHz) and may support E-GSM (Extended GSM) 900 MHz band (downlink: 925.0 MHz - 960.0 MHz, uplink: 880.0 MHz- 915.0 MHz.  , GSM 1800MHz (B3)GSM1800 phones support GSM / DCS / PCS 1800 MHz (B3) band (downlink: 1805.2 - 1879.8 MHz, uplink: 1710.2 - 1784.8 MHz). , UMTS 2100MHz (Band I, IMT)UMTS2100 phones support UMTS 1900 / 2100MHz (IMT, also refferred as UMTS Band I) band (downlink: 2112.4 - 2167.6 MHz, uplink: 1922.4-1977.6 MHz) , UMTS 850MHz (Band V, CLR)UMTS850 phones support UMTS 850 MHz (CLR, also refferred as UMTS Band V) band (downlink: 871.4 - 891.6 MHz, uplink: 826.4 - 846.6 MHz) networks;GPRS (Class unspecified)General Packet Radio Service , EDGE (Class unspecified)Enhanced Data Rates for GSM Evolution also known as Enhanced GPRS (EGPRS) , UMTS 384 kbps (W-CDMA)Universal Mobile Telecommunications System. UMTS Release '99 data link layer, W-CDMA grants up to 384 kbit/s pocket-switched download speed. , HSUPA (Cat. unspecified)High-Speed Uplink Packet Access is a 3.5G UMTS uplink protocol. , HSDPA (Cat. unspecified)High-Speed Downlink Packet Access is a 3.5G UMTS downlink protocol.;No;Thailand covered;Southest Asia
Mobile TeleSystems;MTS;Moscow;;1993;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , TD-LTE 2600 MHz (Band 38) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Russia covered;
Iusacell;Iusacell;Mexico City;;2000;GSM 850MHz (B5)GSM850 phones support GSM 850 MHz (B5) band (downlink: 869.2 MHz - 894.2 MHz, uplink: 824.2 MHz - 849.2 MHz)  , GSM 1900MHz (PCS, B2)GSM1900 phones support PCS 1900 MHz (B2) band (downlink: 1930.2 - 1989.8 MHz, uplink: 1850.2 - 1909.8 MHz)  , UMTS 1900MHz (Band II, PCS)UMTS1900 phones support UMTS 1900MHz (PCS, also refferred as UMTS Band II) band (downlink: 1932.4 - 1987.6 MHz, uplink: 1852.4-1907.6 MHz) , UMTS 850MHz (Band V, CLR)UMTS850 phones support UMTS 850 MHz (CLR, also refferred as UMTS Band V) band (downlink: 871.4 - 891.6 MHz, uplink: 826.4 - 846.6 MHz) , LTE 1700/2100 MHz (Band 4, AWS)LTE1700/2100 phones support LTE 1700 / 2100 MHz (AWS also referred as LTE Band 4) band (downlink: 2110 - 2155 MHz, uplink: 1710 - 1755 MHz);"	GPRS (Class unspecified)General Packet Radio Service , EDGE (Class unspecified)Enhanced Data Rates for GSM Evolution also known as Enhanced GPRS (EGPRS) , UMTS 384 kbps (W-CDMA)Universal Mobile Telecommunications System. UMTS Release '99 data link layer, W-CDMA grants up to 384 kbit/s pocket-switched download speed. , HSUPA (Cat. unspecified)High-Speed Uplink Packet Access is a 3.5G UMTS uplink protocol. , HSDPA (Cat. unspecified)High-Speed Downlink Packet Access is a 3.5G UMTS downlink protocol. , LTE (Cat. unspecified)LTE (Long Term Evolution) or the E-UTRAN (Evolved Universal Terrestrial Access Network), introduced in 3GPP R8, is the 4G access part of the Evolved Packet System (EPS). , LTE 150 Mbps / 50 Mbps (Cat. 4)LTE 151.2 Mbps / 50.4 Mbps (Cat. 4)";No;Mexico covered;
Movistar Mexico / Pegaso;Movistar MX;;Subsidiary of Telefónica S.A. Formerly known as Movistar Mexico. UMTS coverage in Acapulco, Aguas Calientes, Cancun, Cd. Juarez, Cd. Victoria, Chihuahua, Cuernavaca, Culiacan, Distrito Federal, Ensenada, Guadalajara, Hermosillo, La Paz, Leon, Matamoros, Mazatlan, Merida, Mexicalli, Monclova, Monterrey, Morelia, Nuevo Laredo, Puebla, Queretaro, Reynosa, Saltillo, San Luis Potosi, San Luis Rio Colorado, Tampico, Tijuana, Toluca, Torreon, Valle de Bravo, Veracruz, Villahermosa.;;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1900 MHz (Band 2, PCS) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Mexico covered;
Cellcom Wisconsin, USA;Cellcom US;De Pere, Wisconsin;Regional wireless service provider. Parent organization: Northeast Communications of Wisconsin, Inc.;1987;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 700 MHz (Band 13) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;USA covered;
True Move;True;Bangkok;;1990;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 850MHz (Band V, CLR) , LTE 2100 MHz (Band 1) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Thailand covered;
Cell C Pty Limited;Cell C;Randburg;;2001;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;South Africa covered;
Hutchison Three UK;3 UK;Maidenhead;Parent organizations: Hutchison Whampoa, Hutchison 3G UK Holdings Limited. Later merged into Vodafone UK;2003;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;UK covered;
Orange France;Orange FR;Paris;Orange S.A. Formerly France Télécom S.A.. VoLTE services since 2016;1988;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) data links;No;France covered;
SFR;;Paris;Société francaise du radiotéléphone;1987;GSM 900MHz (B8)GSM900 phones support P-GSM (Primary GSM) 900 MHz (B8) band (downlink: 935.0 MHz - 960.0 MHz, uplink: 890.0 MHz - 915.0 MHz) and may support E-GSM (Extended GSM) 900 MHz band (downlink: 925.0 MHz - 960.0 MHz, uplink: 880.0 MHz- 915.0 MHz.  , GSM 1800MHz (B3)GSM1800 phones support GSM / DCS / PCS 1800 MHz (B3) band (downlink: 1805.2 - 1879.8 MHz, uplink: 1710.2 - 1784.8 MHz). , UMTS 2100MHz (Band I, IMT)UMTS2100 phones support UMTS 1900 / 2100MHz (IMT, also refferred as UMTS Band I) band (downlink: 2112.4 - 2167.6 MHz, uplink: 1922.4-1977.6 MHz) , UMTS 900MHz (Band VIII)UMTS900 phones support UMTS 900 MHz (UMTS Band VIII) band (downlink: 927.4 - 957.6 MHz, uplink: 882.4-912.6 MHz) , LTE 2100 MHz (Band 1)LTE2100 phones support LTE 1900 / 2100MHz (IMT, also refferred as LTE Band 1) band (downlink: 2110 - 2170 MHz, uplink: 1920 - 1980 MHz) , LTE 1800 MHz (Band 3)LTE1800 phones support LTE 1800 MHz (LTE Band 3) band (downlink: 1805 - 1880 MHz, uplink: 1710 - 1785 MHz) , LTE 2600 MHz (Band 7)LTE2600 phones support LTE 2600 MHz (LTE Band 7) band (downlink: 2620 - 2690 MHz, uplink: 2500 - 2570 MHz) , LTE 800 MHz (Band 20);GPRS (Class unspecified)General Packet Radio Service , EDGE (Class unspecified)Enhanced Data Rates for GSM Evolution also known as Enhanced GPRS (EGPRS) , UMTS 384 kbps (W-CDMA)Universal Mobile Telecommunications System. UMTS Release '99 data link layer, W-CDMA grants up to 384 kbit/s pocket-switched download speed. , HSUPA (Cat. unspecified)High-Speed Uplink Packet Access is a 3.5G UMTS uplink protocol. , HSDPA (Cat. unspecified)High-Speed Downlink Packet Access is a 3.5G UMTS downlink protocol. , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24)Dual-carrier HSPA+ 42.2 Mbps , LTE 100 Mbps / 50 Mbps (Cat. 3)LTE 100.8 Mbps / 50.4 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4)LTE 151.2 Mbps / 50.4 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6)More exact values: LTE 301.5 Mbps / 50.4 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9)LTE Category 9: 452.2 Mbps  downlink, 51 Mbps uplink;No;France covered;
Reliance Communications;RCOM;Navi Mumbai;Reliance Communications is foremost and truly integrated telecommunications service provider of India. The Company has a customer base of above 118 million including over 2.6 million individual overseas retail customers. Reliance Communications corporate clientele includes over 39,000 Indian and multinational corporations including small and medium enterprises and over 290 global, regional and domestic carriers.;2002;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , CDMA 800MHz (BC0, 850) , LTE 1800 MHz (Band 3) , LTE 850 MHz (Band 5) , TD-LTE 2300 MHz (Band XL) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;India covered;
Hong Kong CSL Mobile Limited;CSL;Hong Kong;;1983;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;HK covered;
Cellular South / C Spire;C Spire Wireless;Ridgeland, Mississippi;;1988;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1900 MHz (Band 2, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , TD-NR 28 GHz (N261) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;USA covered;
TELCEL;Telcel;Mexico City;;1984;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Mexico covered;
United States Cellular Corporation;US Cellular;Chicago, Illinois;Also known as US Cellular;2000;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1900 MHz (Band 2, PCS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 850 MHz (Band 5) , LTE 700 MHz (Band 12) , NR 600 MHz (N71) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;USA covered;
Virgin Mobile United Kingdom;Virgin Mobile UK;Hook, Hampshire;Virgin Mobile Telecoms Limited;2006;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;UK covered;
Wind Mobile Canada / Freedom Mobile;WIND CA;Toronto, Ontario;;2009;UMTS 1700/2100MHz (Band IV, AWS) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 13) , LTE 1700/2100 MHz (Band 66) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Canada covered;
Videotron GP;Videotron;Montreal, Quebec;Vidéotron GP;1964;UMTS 1700/2100MHz (Band IV, AWS) , NR 2600 MHz (N7) , NR 700 MHz (N12) , NR 1700/2100 MHz (N66) , NR 600 MHz (N71) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Canada covered;
Fido Solutions;Fido;Toronto, Ontario;Fully owned by Rogers Communications.;1996;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;Canada covered;
DAVE Wireless Mobilicity;Mobilicity;Vaughan, Ontario;Teljes nevén Data & Audio Visual Enterprises Wireless;2009;UMTS 1700/2100MHz (Band IV, AWS) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;Canada covered;
SingTel Optus Pty Limited;Optus;Sydney;Wholly owned subsidiary of Singapore Telecommunications. TDD-LTE Band 42 support since Dec 2017;1981;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , TD-LTE 2300 MHz (Band XL) , TD-LTE 3500 MHz (Band XLII) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 2.6 Gbps , NR 3.7 Gbps data links;No;Australia covered;Australia
Boost Mobile US;Boost;Irvine, California;Fully owned subsidiary of Sprint Nextel Corporation. Wireless services: CDMA 1xRTT, CDMA EV-DO Rev. A / Rel. 0, WiMAX (Clearwire), iDEN (NEXTEL Direct Connect);2000;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , CDMA 800MHz (BC10) , iDEN 800 MHz , iDEN 900 MHz , LTE 1900 MHz (Band 2, PCS) , LTE 1900 MHz (Band 25) , TD-LTE 2500 MHz (Band XLI) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , iDEN , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;USA covered;
Tbooth Wireless;Tbooth;Burnaby, British Columbia;;;;;No;Canada covered;
WirelessWave;WirelessWave;Burnaby, British Columbia;;1997;;;No;Canada covered;
Claro Americas;Claro;;Subsidiary of América Móvil;2003;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , NR 2600 MHz (N7) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Brazil , Mexico covered;Central America , South America (SA)
Proximus Belgacom Mobile;Proximus;;Proximus S.A. is the subsidiary of Belgacom;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Belgium covered;
Telecom Italia;TIM;Rome;TIM S.p.A. Parent company: Vivendi;1994;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , LTE 1500 MHz (Band 32) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Italy covered;
TIM Brazil;TIM BR;Rio de Janeiro;;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 850MHz (Band V, CLR) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Brazil covered;
Swisscom AG;Swisscom;Worblaufen;;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) data links;No;Switzerland covered;
Telecommunications Mobile National;TMN;Lisbon;;1991;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) data links;No;Portugal covered;
China Unicom Netcom Limited;China Unicom;Beijing;;1994;GSM 900MHz (B8) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , TD-LTE 2300 MHz (Band XL) , TD-LTE 2500 MHz (Band XLI) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;China covered;
China Telecom Corporation Limited;China Telecom;Beijing;;2002;CDMA 800MHz (BC0, 850) , CDMA 450MHz (BC5) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 1700/2100 MHz (Band 4, AWS) , TD-LTE 2300 MHz (Band XL) , TD-LTE 2500 MHz (Band XLI) , TD-NR 3500 MHz (N78) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;China covered;
Manitoba Telecom Services;MTS Mobility;Winnipeg, Manitoba;Formerly Manitoba Telephone System;1908;UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , CDMA 1900MHz (BC1/BC14, PCS) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A data links;No;Canada covered;
Willcom Inc.;Willcom;Tokyo;;1994;PHS 1900 MHz , TD-LTE 2500 MHz (Band XLI) networks;LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Japan covered;
Saskatchewan Telecommunications Holding;SaskTel;Regina, Saskatchewan;;1908;UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , CDMA 800MHz (BC0, 850) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A data links;No;Canada covered;
